mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_lr,param_max_epochs,param_module__dropout,param_module__kernel_size,param_module__num_channels,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.7238349914550781,0.5428446225635907,0.015060186386108398,0.005075670244990568,64,0.0001,50,0.15,3,"[32, 64]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.15, 'module__kernel_size': 3, 'module__num_channels': [32, 64]}",0.8323699421965318,0.8670520231213873,0.7848837209302325,0.8281018954160505,0.033680554614737915,30
1.278145472208659,0.09623683676651608,0.004017829895019531,0.00568206952884469,64,0.0001,50,0.15,3,"[32, 32]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.15, 'module__kernel_size': 3, 'module__num_channels': [32, 32]}",0.7341040462427746,0.791907514450867,0.7906976744186046,0.7722364117040822,0.02696817754294808,34
2.232792933781942,0.05952181046344228,0.010765870412190756,0.001059688959624465,64,0.0001,50,0.15,5,"[32, 64]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.15, 'module__kernel_size': 5, 'module__num_channels': [32, 64]}",0.9017341040462428,0.8959537572254336,0.8372093023255814,0.8782990545324193,0.029150516343702616,23
2.1482189496358237,0.023252286636261922,0.002022425333658854,0.0028601413357472838,64,0.0001,50,0.15,5,"[32, 32]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.15, 'module__kernel_size': 5, 'module__num_channels': [32, 32]}",0.8670520231213873,0.9075144508670521,0.813953488372093,0.8628399874535108,0.0383120464875508,26
1.3622835477193196,0.06088328371371567,0.010756651560465494,0.000738882329143867,64,0.0001,50,0.2,3,"[32, 64]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.2, 'module__kernel_size': 3, 'module__num_channels': [32, 64]}",0.8323699421965318,0.8092485549132948,0.75,0.7972061657032755,0.034688770495932254,33
1.1826672554016113,0.008289656161262269,0.006774584452311198,0.004790403340282614,64,0.0001,50,0.2,3,"[32, 32]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.2, 'module__kernel_size': 3, 'module__num_channels': [32, 32]}",0.7687861271676301,0.8034682080924855,0.6802325581395349,0.7508289644665501,0.05188834887869876,35
2.2249592940012612,0.15298445821294537,0.010968526204427084,0.00105022847959276,64,0.0001,50,0.2,5,"[32, 64]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.2, 'module__kernel_size': 5, 'module__num_channels': [32, 64]}",0.8901734104046243,0.9132947976878613,0.872093023255814,0.8918537437827666,0.016862467084892037,18
2.060214122136434,0.009218670310915607,0.010213613510131836,0.00010388759582080131,64,0.0001,50,0.2,5,"[32, 32]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.2, 'module__kernel_size': 5, 'module__num_channels': [32, 32]}",0.8554913294797688,0.8728323699421965,0.8255813953488372,0.8513016982569342,0.019516290756580488,29
1.2904624144236247,0.0032212166292229193,0.010565678278605143,0.002260974572110354,64,0.0001,50,0.25,3,"[32, 64]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.25, 'module__kernel_size': 3, 'module__num_channels': [32, 64]}",0.8092485549132948,0.838150289017341,0.7732558139534884,0.8068848859613748,0.026545726858120997,32
1.200591246287028,0.014605083816449047,0.00560609499613444,0.004222311059728135,64,0.0001,50,0.25,3,"[32, 32]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.25, 'module__kernel_size': 3, 'module__num_channels': [32, 32]}",0.7341040462427746,0.7456647398843931,0.7558139534883721,0.7451942465385133,0.008869274346284848,36
2.2851542631785073,0.19071592931601067,0.00883173942565918,0.0046412706807250565,64,0.0001,50,0.25,5,"[32, 64]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.25, 'module__kernel_size': 5, 'module__num_channels': [32, 64]}",0.9017341040462428,0.884393063583815,0.8372093023255814,0.8744454899852131,0.027265095814335786,25
2.078404426574707,0.006951916603186718,0.002012968063354492,0.0028467667358198267,64,0.0001,50,0.25,5,"[32, 32]","{'batch_size': 64, 'lr': 0.0001, 'max_epochs': 50, 'module__dropout': 0.25, 'module__kernel_size': 5, 'module__num_channels': [32, 32]}",0.791907514450867,0.8497109826589595,0.813953488372093,0.8185239951606399,0.023818443602232613,31
1.3006652196248372,0.03531972662632863,0.003397703170776367,0.004805077905030007,64,0.0002,50,0.15,3,"[32, 64]","{'batch_size': 64, 'lr': 0.0002, 'max_epochs': 50, 'module__dropout': 0.15, 'module__kernel_size': 3, 'module__num_channels': [32, 64]}",0.9132947976878613,0.9017341040462428,0.877906976744186,0.8976452928260968,0.014733482292178333,16
1.2100190321604412,0.008580837340111148,0.010132471720377604,7.055587772840036e-05,64,0.0002,50,0.15,3,"[32, 32]","{'batch_size': 64, 'lr': 0.0002, 'max_epochs': 50, 'module__dropout': 0.15, 'module__kernel_size': 3, 'module__num_channels': [32, 32]}",0.8901734104046243,0.9017341040462428,0.872093023255814,0.8880001792355602,0.012198104166681678,21
